Product name,Price,Rating,No. of ratings,No. of reviews,Product id,Seller details,Product URL
AL XTAR FASHION - Dark Grey Faux Leather Sling Bag,Rs.  999,N/A,N/A,N/A,SDL661594354,al xtar fashion,https://www.snapdeal.com/product/al-xtar-fashion-blue-faux/7493990425377321789
Style Smith - Brown Faux Leather Shoulder Bag,"Rs.  1,399",4.0,2,N/A,SDL725608580,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-brown-faux-leather/633836853864
Fostelo - Tan PU Shoulder Bag,Rs.  339,3.9,7,N/A,SDL000605800,fostelo handbags,https://www.snapdeal.com/product/fostelo-blue-pu-shoulder-bag/5764608174206937339
Stropcarry Black P.U. Combo,Rs.  699,5.0,1,N/A,SDL569989370,element cart,https://www.snapdeal.com/product/stropcarry-black-pu-combo/5764608150375207215
Style Smith - Multicolor Fabric Sling Bag,Rs.  449,4.8,4,N/A,SDL232201756,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-multicolor-fabric-sling/643287091727
Style Smith - Pink Faux Leather Handheld,Rs.  899,4.4,5,N/A,SDL639305418,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-pink-faux-leather/676251192210
TAP FASHION - Brown PU Sling Bag (With Complimentary Pendant Set),Rs.  439,3.9,27,2,SDL922392925,tap fashion,https://www.snapdeal.com/product/tap-fashion-brown-pu-sling/674919201965
Style Smith - Brown Small P.U. Gym Bag,Rs.  249,4.3,3,N/A,SDL216989652,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-brown-small-pu/619366581416
Fly Fashion - Navy Blue Small Nylon Gym Bag,Rs.  379,4.1,12,N/A,SDL208075022,leather world,https://www.snapdeal.com/product/fly-fashion-navy-blue-small/672661864017
Hipkoo Sports 25 Ltrs Large Polyester Gym Bag,Rs.  419,4.3,7,N/A,SDL744680109,gbl garden private limited,https://www.snapdeal.com/product/hipkoo-sports-25-ltrs-large/671577672997
Hipkoo Sports 25 Ltrs Large Polyester Gym Bag,Rs.  419,4.2,9,N/A,SDL727638661,gbl garden private limited,https://www.snapdeal.com/product/hipkoo-sports-25-ltrs-large/665653225459
Style Smith 22 Liters Gym Bag Sports Bag With Shoe Compartment,Rs.  449,N/A,N/A,N/A,SDL105190154,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-yellow-onesize-polyester/625561570826
Hipkoo Sports 25 Ltrs Large Polyester Gym Bag,Rs.  269,4.6,5,N/A,SDL980678159,gbl garden private limited,https://www.snapdeal.com/product/hipkoo-sports-25-ltrs-large/659540494187
Hipkoo Sports 25 Ltrs Large Polyester Gym Bag,Rs.  419,4.3,8,N/A,SDL978840294,gbl garden private limited,https://www.snapdeal.com/product/hipkoo-sports-25-ltrs-large/641298295350
Hipkoo Sports 25 Ltrs Large Polyester Gym Bag,Rs.  329,4.0,1,N/A,SDL724222693,gbl garden private limited,https://www.snapdeal.com/product/hipkoo-sports-25-ltrs-large/634714079967
Hipkoo Sports 25 Ltrs Large Polyester Gym Bag,Rs.  279,3.3,3,N/A,SDL717646031,gbl garden private limited,https://www.snapdeal.com/product/hipkoo-sports-25-ltrs-large/664263490280
